江苏移动直播央视,#genre#
CGTN法语,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?&encrypt=
CGTN西班牙语,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?&encrypt=
CGTN俄语,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?&encrypt=
CETV1中教1台,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r3/cnr/cetv1/600/index.m3u8?&encrypt=
CETV2中教2台,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r3/cnr/cetv2/600/index.m3u8?&encrypt=
CETV3中教3台,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r3/cnr/cetv3/600/index.m3u8?&encrypt=
CETV4中教4台,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r3/cnr/cetv4/600/index.m3u8?&encrypt=
北京卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_w/2018/bjws/bjws711/1000/index.m3u8?&encrypt=
东方卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
天津卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-tianjinhd-1200/index.m3u8?&encrypt=
重庆卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/chongqing/1000/index.m3u8?&encrypt=
黑龙江卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-heilongjianghd-1200/index.m3u8?&encrypt=
吉林卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/jilin/1000/index.m3u8?&encrypt=
辽宁卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?&encrypt=
内蒙古卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_w/2018/SD/neimeng/1000/index.m3u8?&encrypt=
宁夏卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/ningxia/1000/index.m3u8?&encrypt=
甘肃卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/gansu/1000/index.m3u8?&encrypt=
青海卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_w/2018/SD/qinghai/1000/index.m3u8?&encrypt=
陕西卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_w/2018/SD/shan3xi/1000/index.m3u8?&encrypt=
河北卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/hebei/1000/index.m3u8?&encrypt=
山西卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_w/2018/SD/shanxi/1000/index.m3u8?&encrypt=
山东卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-shandonghd-1200/index.m3u8?&encrypt=
安徽卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-anhuiwssd-600/index.m3u8?&encrypt=
河南卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-henanwssd-600/index.m3u8?&encrypt=
湖北卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/hubeiwshd/2000/index.m3u8?&encrypt=
湖南卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-hunanhd-2500/index.m3u8?&encrypt=
江西卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/jxwshd/51/20190820/index.m3u8?&encrypt=
江苏卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/cctv/jiangsuhd/2500/index.m3u8?&encrypt=
浙江卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/cctv/zhejianghd/2500/index.m3u8?&encrypt=
东南卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r1/2018/bestv/dnws/1000/index.m3u8?&encrypt=
广东卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/guangdong/1000/index.m3u8?&encrypt=
深圳卫视HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_w/2018/szws/szws711/1000/index.m3u8?&encrypt=
南方卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?&encrypt=
广西卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-guangxiwssd-600/index.m3u8?&encrypt=
云南卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/yunnan/1000/index.m3u8?&encrypt=
贵州卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-guizhouwssd-600/index.m3u8?&encrypt=
四川卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/sichuanTV/1000/index.m3u8?&encrypt=
新疆卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd-xinjiangwssd-350/index.m3u8?&encrypt=
兵团卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_w/2018/SD/bttv/1000/index.m3u8?&encrypt=
西藏卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/2018/SD/xizang/1000/index.m3u8?&encrypt=
海南卫视,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_x/SD/lvyou/450/index.m3u8?&encrypt=
江苏城市,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jschengshi/350/index.m3u8?&encrypt=
江苏综艺,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jszongyi/600/index.m3u8?&encrypt=
江苏公共新闻,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jsgonggong/600/index.m3u8?&encrypt=
江苏教育,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jsjiaoyu/600/index.m3u8?&encrypt=
江苏国际,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jsguoji/600/index.m3u8?&encrypt=
江苏影视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jsyingshi/600/index.m3u8?&encrypt=
江苏体育休闲,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jstiyu/600/index.m3u8?&encrypt=
江苏学习,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jsxuexi/600/index.m3u8?&encrypt=
江苏靓妆,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/jsliangzhuang/350/index.m3u8?&encrypt=
好享购物,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/hxgw/600/index.m3u8?&encrypt=
优漫卡通,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/ymkt/600/index.m3u8?&encrypt=
无锡新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/wxxinwenzonghe/600/index.m3u8?&encrypt=
常州新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/czxinwenzonghe/600/index.m3u8?&encrypt=
扬州新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/yzxinwenzonghe/600/index.m3u8?&encrypt=
苏州新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/szxinwenzonghe/600/index.m3u8?&encrypt=
泰州新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/tzxinwenzonghe/600/index.m3u8?&encrypt=
盐城新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/ycxinwenzonghe/600/index.m3u8?&encrypt=
淮安新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/haxinwenzonghe/600/index.m3u8?&encrypt=
镇江新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/zjxinwenzonghe/600/index.m3u8?&encrypt=
宿迁新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/sqxinwenzonghe/600/index.m3u8?&encrypt=
连云港新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/jstv/lygxinwenzonghe/600/index.m3u8?&encrypt=
北京体育,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r3/btv/btv6/3000/index.m3u8?&encrypt=
四海钓鱼,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?&encrypt=
国学频道,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/ocn/shuhua/600/index.m3u8?&encrypt=
上海新闻综合HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/dfl/xinwenzonghehd/3000/index.m3u8?&encrypt=
第一财经,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r1/2018/bestv/dycj/1000/index.m3u8?&encrypt=
东方影视高清,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/dfl/dianshijuhd/3000/index.m3u8?&encrypt=
东方都市HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/dfl/yulehd/3000/index.m3u8?&encrypt=
上视纪实人文高清,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/jspdhd/2000/index.m3u8?&encrypt=
上海ICS,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/dfl/waiyusd/600/index.m3u8?&encrypt=
哈哈炫动,http://223.113.54.41/live.cache.cmvideo.cn:8088/ws_w/2018/xdkt/xdkt711/1000/index.m3u8?&encrypt=
法治天地,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/2018/ocn/fztd/1000/index.m3u8?&encrypt=
游戏风云,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/ocn/youxifengyunhd/600/index.m3u8?&encrypt=
全纪实HD,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r2/ocn/quanjishihd/3000/index.m3u8?&encrypt=
漳县综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/cnr/zhangxianzonghe/600/index.m3u8?&encrypt=
临洮电视台,http://223.113.54.41/live.cache.cmvideo.cn:8088/migu/kailu/linyaodst/50/20191206/index.m3u8?&encrypt=
汉中新闻综合,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r1/cnr/hanzhongzonghe/1000/index.m3u8?&encrypt=
汉中公共,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r1/cnr/hanzhonggonggong/1000/index.m3u8?&encrypt=
汉中留坝电视台,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r1/cnr/hzlbdianshitai/1000/index.m3u8?&encrypt=
SDETV山东教育,http://223.113.54.41/live.cache.cmvideo.cn:8088/envivo_v/2018/SD/shandongedu/1000/index.m3u8?&encrypt=
山西经济资讯,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/cnr/sxjingjizixun/600/index.m3u8?&encrypt=
山西影视,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/cnr/sxyingshi/600/index.m3u8?&encrypt=
山西公共,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/cnr/sxgonggong/1000/index.m3u8?&encrypt=
山西黄河,http://223.113.54.41/live.cache.cmvideo.cn:8088/wd_r4/cnr/sxhuanghe/600/index.m3u8?&encrypt=
